,,date,deposits,assets,noninterestexpense,interestexpense,noninterestincome,stockholdersequity
FITB,10,2016-12-31,103821000000.000000,142177000000.000000,3903000000.0,578000000.0,2696000000.0,16205000000.0
FITB,11,2016-06-30,101871000000.000000,143625000000.000000,1968000000.0,280000000.0,1235000000.0,16726000000.0
FITB,12,2016-03-31,102475000000.000000,142430000000.000000,986000000.0,135000000.0,637000000.0,16323000000.0
FITB,13,2015-12-31,103205000000.000000,141082000000.000000,3775000000.0,495000000.0,3003000000.0,15839000000.0
FITB,14,2015-09-30,100893000000.000000,141918000000.000000,2814000000.0,363000000.0,1900000000.0,15826000000.0
FITB,15,2015-06-30,103023000000.000000,141658000000.000000,1871000000.0,239000000.0,1187000000.0,15605000000.0
FITB,16,2015-03-31,103415000000.000000,140470000000.000000,923000000.0,123000000.0,630000000.0,15864000000.0
FITB,17,2014-12-31,101712000000.000000,138706000000.000000,3709000000.0,451000000.0,2473000000.0,15626000000.0
FITB,18,2014-09-30,97292000000.0,134188000000.000000,2792000000.0,323000000.0,1820000000.0,15404000000.0
FITB,19,2014-06-30,95952000000.0,132562000000.000000,1903000000.0,208000000.0,1300000000.0,15469000000.0
FITB,20,2014-03-31,96874000000.0,129654000000.000000,950000000.0,100000000.0,564000000.0,14826000000.0
FITB,21,2013-12-31,99275000000.0,130443000000.000000,3961000000.0,412000000.0,3227000000.0,14589000000.0
FITB,22,2013-09-30,94126000000.0,125673000000.000000,2972000000.0,310000000.0,2524000000.0,14641000000.0
FITB,23,2013-06-30,93454000000.0,123360000000.000000,2013000000.0,211000000.0,1803000000.0,14239000000.0
FITB,24,2013-03-31,91624000000.0,121382000000.000000,978000000.0,107000000.0,743000000.0,13882000000.0
FITB,25,2012-12-31,89517000000.0,121894000000.000000,4081000000.0,512000000.0,2999000000.0,13716000000.0
FITB,26,2012-09-30,84688000000.0,117483000000.000000,2918000000.0,395000000.0,2119000000.0,13718000000.0
FITB,27,2012-06-30,84273000000.0,117543000000.000000,1911000000.0,274000000.0,1448000000.0,13773000000.0
FITB,28,2012-03-31,85791000000.0,116747000000.000000,973000000.0,142000000.0,769000000.0,13560000000.0
FITB,29,2011-12-31,85710000000.0,116967000000.000000,3758000000.0,661000000.0,2455000000.0,13201000000.0
FITB,30,2011-09-30,82047000000.0,114905000000.000000,2765000000.0,519000000.0,1905000000.0,13029000000.0
