,,symbol,date,estimatedRevenueLow,estimatedRevenueHigh,estimatedRevenueAvg,estimatedEbitdaLow,estimatedEbitdaHigh,estimatedEbitdaAvg,estimatedEbitLow,estimatedEbitHigh,estimatedEbitAvg,estimatedNetIncomeLow,estimatedNetIncomeHigh,estimatedNetIncomeAvg,estimatedSgaExpenseLow,estimatedSgaExpenseHigh,estimatedSgaExpenseAvg,estimatedEpsAvg,estimatedEpsHigh,estimatedEpsLow,numberAnalystEstimatedRevenue,numberAnalystsEstimatedEps
RF,1,RF,2023-12-31,5849543374.0,6271675370.0,6030457086.0,3456011399,3286275662,3302452827,2103060278,1999772283,2009616450,1676091363,1593773173,1601618750,4152087270,3948165028,3967600438,2.796771588527859,2.9366101679542522,2.712868440872023,9.0,9.0
RF,2,RF,2022-12-31,5646190550.0,6366317760.0,6091473231.0,3329956461,3343230538,3334414103,2026353027,2034430600,2029065602,1614957424,1621395066,1617119284,4000643585,4016591196,4005999042,1.5792681000000002,1.8585,1.2348,14.0,14.0
RF,3,RF,2021-12-31,5560040000.0,6244288020.0,5990509293.0,3221576643,3342673753,3273191838,1960401483,2034091784,1991810484,1562395538,1621125038,1587427800,3870434968,4015922268,3932445989,1.249802,1.5750000000000002,0.8036,23.0,28.0
RF,4,RF,2020-12-31,5690020000.0,6158760000.0,6033879482.0,3277645083,3317101908,3295920452,1994520383,2018530744,2005641354,1589587529,1608723243,1598450691,3937796163,3985199993,3959752377,0.5241361,0.651,0.2548,23.0,28.0
RF,5,RF,2019-12-31,5662860000.0,6056454000.0,5971780919.0,3246704781,3223954161,3246702333,1977354469,1963498562,1977352979,1779113305,1766646532,1779111964,3899080041,3871758034,3899077101,1.5618508,1.6170000000000002,1.47,23.0,28.0
RF,6,RF,2018-12-31,5598840000.0,6030240000.0,5904272945.0,2994520476,2869013407,2868155380,1998495904,1914734459,1914161825,1357043186,1300166463,1299777626,3992693968,3825351210,3824207174,1.5742726000000002,1.6590000000000003,1.3328,26.0,30.0
RF,7,RF,2017-12-31,5210840000.0,5857860000.0,5737209639.0,2524524926,2597469042,2596122157,1638381231,1685720938,1684846829,1145094574,1178181160,1177570230,3788756598,3898229670,3896208293,1.0234286000000001,1.0815000000000001,0.9506,28.0,31.0
RF,8,RF,2016-12-31,5292320000.0,5782380000.0,5666222396.0,2417904761,2402948025,2410324125,1602857142,1592942148,1597831850,1112571428,1105689256,1109083284,4060571428,4035453443,4047840688,0.8949670000000001,0.924,0.8231999999999999,31.0,34.0
RF,9,RF,2015-12-31,5051760000.0,5553900000.0,5425677465.0,2507061650,2546905263,2536411627,1640258420,1666326315,1659460799,1184802048,1203631578,1198672434,3591335040,3648410526,3633378522,0.767659,0.861,0.6859999999999999,30.0,38.0
CFG,0,CFG,2024-12-31,6336489026.0,6793761430.0,6532462913.0,4504114562,4504114563,4504114563,2273774809,2273774809,2273774809,1809120693,1809120693,1809120693,4282898799,4282898799,4282898799,7.3170144119772305,7.60969498845632,7.097503979617914,7.0,9.0
